route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE16634,OCESN,"","Lyon - (LPT - AMB) - Chambéry",,2,,,
OCESN-87741645-87723197,OCESN,"","Albertville - Lyon-Part-Dieu",,2,,,
OCE67,OCESN,"","Lyon - (LTP) - Chambéry - Modane",,2,,,
OCESN-87723197-87742007,OCESN,"","Lyon-Part-Dieu - Modane",,2,,,
OCE52,OCESN,"","Lyon - Annecy",,2,,,
OCESN-87746008-87723197,OCESN,"","Annecy - Lyon-Part-Dieu",,2,,,
OCESN-87741132-87723197,OCESN,"","Aix-les-Bains-le-Revard - Lyon-Part-Dieu",,2,,,
OCESN-87746008-87722025,OCESN,"","Annecy - Lyon-Perrache",,2,,,
OCESN-87741132-87741009,OCESN,"","Aix-les-Bains-le-Revard - Chambéry-Chal.-les-Eaux",,2,,,
OCE1045885,OCESN,"","Neustadt - Wissembourg",,2,,,
OCE534,OCESN,"","Belfort -Mulhouse ville",,2,,,
OCESN-87746479-87746875,OCESN,"","St-Gervais-L-B-Le-Fayet - Vallorcine",,2,,,
OCESN-87746784-87746875,OCESN,"","Chamonix-Mont-Blanc - Vallorcine",,2,,,
OCESN-87746784-87746479,OCESN,"","Chamonix-Mont-Blanc - St-Gervais-L-B-Le-Fayet",,2,,,
OCESN-87286005-87286542,OCESN,"","Lille Flandres - Tourcoing",,2,,,
OCE633121,OCESN,"","LILLE-TOURCOING-MOUSCRON",,2,,,
OCESN-88960080-87286005,OCESN,"","Courtrai/Kortrijk - Lille Flandres",,2,,,
OCE697619,OCESN,"","LILLE-TOURNAI-ASCQ-ORCHIES",,2,,,
OCESN-87286872-87286005,OCESN,"","Baisieux - Lille Flandres",,2,,,
OCESN-87286864-87286005,OCESN,"","Ascq - Lille Flandres",,2,,,
OCESN-87286005-87296004,OCESN,"","Lille Flandres - St Quentin",,2,,,
OCESN-87313874-87286005,OCESN,"","Amiens - Lille Flandres",,2,,,
OCESN-87342014-87286005,OCESN,"","Arras - Lille Flandres",,2,,,
OCESN-87672006-87671008,OCESN,"","Pau - Tarbes",,3,,,
OCESN-87583005-87491001,OCESN,"","Angoulême - Saintes",,2,,,
OCESN-87611095-87611004,OCESN,"","Boussens - Toulouse-Matabiau",,2,,,
OCE317,OCESN,"","NICE/TENDE",,2,,,
OCE325,OCESN,"","Metz - Forbach - Saarbrücken",,2,,,
OCESN-87193003-87192039,OCESN,"","Forbach - Metz-Ville",,2,,,
OCESN-87193615-87212027,OCESN,"","Sarreguemines - Strasbourg",,2,,,
OCESN-80253914-87212027,OCESN,"","Saarbrucken-Hbf - Strasbourg",,2,,,
OCESN-87215665-87212027,OCESN,"","Diemeringen - Strasbourg",,2,,,
OCESN-87212142-87212027,OCESN,"","Mommenheim - Strasbourg",,2,,,
OCESN-87193821-87213058,OCESN,"","Bitche - Haguenau",,3,,,
OCE600929,OCESN,"","Haguenau - Niederbronn - Bitche",,3,,,
OCESN-87193821-87213256,OCESN,"","Bitche - Niederbronn",,3,,,
OCESN-87193839-87213256,OCESN,"","Bitche-Camp - Niederbronn",,3,,,
OCESN-87213058-87213256,OCESN,"","Haguenau - Niederbronn",,2,,,
OCESN-87193839-87213058,OCESN,"","Bitche-Camp - Haguenau",,3,,,
OCE596931,OCESN,"","Haguenau-Obermodern-Saverne",,3,,,
OCESN-87213058-87212027,OCESN,"","Haguenau - Strasbourg",,2,,,
OCE600928,OCESN,"","Haguenau - Wissembourg",,3,,,
OCE600930,OCESN,"","Strasbourg -Haguenau",,3,,,
OCESN-87213058-87213470,OCESN,"","Haguenau - Wissembourg",,3,,,
OCESN-87213058-87660381,OCESN,"","Haguenau - Wissembourg-Altenstadt.",,3,,,
OCE468860,OCESN,"","Frohmuhl-Saverne",,3,,,
OCESN-87642306-87678680,OCESN,"","Bouxwiller-Schattenmann - Haguenau-Moulin-Neuf.",,3,,,
OCESN-87213884-87212225,OCESN,"","Niedermodern/Uberach - Saverne",,3,,,
OCESN-87678680-87213785,OCESN,"","Haguenau-Moulin-Neuf. - Ingwiller",,3,,,
OCESN-87642264-87678680,OCESN,"","Dossenheim-(Mairie) - Haguenau-Moulin-Neuf.",,3,,,
OCESN-87213165-87642256,OCESN,"","Obermodern - Saverne-(Ht-Barr)",,3,,,
OCESN-87678680-87212225,OCESN,"","Haguenau-Moulin-Neuf. - Saverne",,3,,,
OCESN-87639997-87642264,OCESN,"","Bouxwiller-Babenhausen - Dossenheim-(Mairie)",,3,,,
OCESN-87642306-87213884,OCESN,"","Bouxwiller-Schattenmann - Niedermodern/Uberach",,3,,,
OCESN-87642306-87213165,OCESN,"","Bouxwiller-Schattenmann - Obermodern",,3,,,
OCESN-87678680-87213165,OCESN,"","Haguenau-Moulin-Neuf. - Obermodern",,3,,,
OCESN-87213165-87212225,OCESN,"","Obermodern - Saverne",,3,,,
OCESN-87213884-87213165,OCESN,"","Niedermodern/Uberach - Obermodern",,3,,,
OCESN-87639997-87213884,OCESN,"","Bouxwiller-Babenhausen - Niedermodern/Uberach",,3,,,
OCESN-87642264-87213165,OCESN,"","Dossenheim-(Mairie) - Obermodern",,3,,,
OCESN-87642298-87212225,OCESN,"","Neuwiller-R.-Bouxwiller - Saverne",,3,,,
OCE464859,OCESN,"","Mommenheim-Bouxwiller",,3,,,
OCE616985,OCESN,"","Colmar - Bollwiller - Mulhouse",,3,,,
OCE476859,OCESN,"","Strasbourg-Sélestat via Erstein",,3,,,
OCESN-87213165-87658849,OCESN,"","Obermodern - Pfaffenhoffen-(Mairie).",,3,,,
OCESN-87658849-87212225,OCESN,"","Pfaffenhoffen-(Mairie). - Saverne",,3,,,
OCESN-87212027-87214056,OCESN,"","Strasbourg - Sélestat",,2,,,
OCESN-87214122-87212027,OCESN,"","Benfeld - Strasbourg",,3,,,
OCE600927,OCESN,"","Strasbourg-Sarreguemines",,3,,,
OCESN-87182014-87182717,OCESN,"","Colmar - Raedersheim",,3,,,
OCESN-87936989-87212142,OCESN,"","Buswiller-Eglise - Mommenheim",,3,,,
OCE616988,OCESN,"","Ingwiller - Wimmenau - Lichtenberg",,3,,,
OCESN-87639963-87212142,OCESN,"","Ettendorf-Pl,-de-L'ecol - Mommenheim",,3,,,
OCESN-87639971-87212142,OCESN,"","Ettendorf-(Angle-Pont) - Mommenheim",,3,,,
OCESN-87639997-87212142,OCESN,"","Bouxwiller-Babenhausen - Mommenheim",,3,,,
OCESN-87639997-87639922,OCESN,"","Bouxwiller-Babenhausen - Minversheim-Rue-Princip",,3,,,
OCE600931,OCESN,"","Strasbourg - Saverne",,3,,,
OCESN-87215665-87193615,OCESN,"","Diemeringen - Sarreguemines",,3,,,
OCESN-87212027-87213744,OCESN,"","Strasbourg - Wingen-sur-Moder",,3,,,
OCESN-87213785-87213769,OCESN,"","Ingwiller - Wimmenau",,3,,,
OCESN-87213785-87654384,OCESN,"","Ingwiller - Lichtenberg-(Eglise).",,3,,,
OCE801852,OCESN,"","Saverne - Lutzelbourg",,3,,,
OCESN-87212225-87212027,OCESN,"","Saverne - Strasbourg",,2,,,
OCESN-87215160-87212225,OCESN,"","Lutzelbourg - Saverne",,3,,,
OCESN-87182642-87182568,OCESN,"","Kruth - Thann",,2,,,
OCE616987,OCESN,"","Mulhouse - Kruth",,3,,,
OCESN-87182642-87182063,OCESN,"","Kruth - Mulhouse",,2,,,
OCESN-87182642-87182618,OCESN,"","Kruth - Wesserling",,3,,,
OCESN-87182014-87182816,OCESN,"","Colmar - Metzeral",,2,,,
OCE616984,OCESN,"","Colmar - Munster - Metzeral",,3,,,
OCE472859,OCESN,"","Sewen-Cernay",,3,,,
OCESN-87641688-87642157,OCESN,"","Cernay-(Lycée) - Sewen-(Eglise)",,3,,,
OCESN-87182410-87642157,OCESN,"","Cernay (Haut-Rhin) - Sewen-(Eglise)",,3,,,
OCESN-85000109-87182063,OCESN,"","Basel-SBB - Mulhouse",,2,,,
OCE600932,OCESN,"","Strasbourg-Lauterbourg",,3,,,
OCESN-87213785-87642223,OCESN,"","Ingwiller - Saverne-(Lycée-Verne)",,3,,,
OCESN-87642389-87642256,OCESN,"","Frohmuhl- (Lavoir) - Saverne-(Ht-Barr)",,3,,,
OCESN-87642389-87212225,OCESN,"","Frohmuhl- (Lavoir) - Saverne",,3,,,
OCESN-87642389-87642223,OCESN,"","Frohmuhl- (Lavoir) - Saverne-(Lycée-Verne)",,3,,,
OCESN-87213785-87642256,OCESN,"","Ingwiller - Saverne-(Ht-Barr)",,3,,,
OCESN-87639989-87212225,OCESN,"","Hattmatt-S.-Polyvalente - Saverne",,3,,,
OCESN-87639989-87642249,OCESN,"","Hattmatt-S.-Polyvalente - Saverne-(Pl.-Dragons)",,3,,,
OCESN-87639989-87642223,OCESN,"","Hattmatt-S.-Polyvalente - Saverne-(Lycée-Verne)",,3,,,
OCESN-87639989-87642256,OCESN,"","Hattmatt-S.-Polyvalente - Saverne-(Ht-Barr)",,3,,,
OCE468861,OCESN,"","Saverne-Hattmatt",,3,,,
OCESN-87212340-87212027,OCESN,"","Herrlisheim (Bas-Rhin) - Strasbourg",,3,,,
OCESN-87212464-87212407,OCESN,"","Lauterbourg - Roeschwoog",,3,,,
OCESN-87214528-87212027,OCESN,"","Entzheim-Aéroport - Strasbourg",,3,,,
OCESN-87214247-87214577,OCESN,"","Barr - Molsheim",,3,,,
OCE596933,OCESN,"","Mulhouse-Belfort",,3,,,
OCESN-87214577-87212027,OCESN,"","Molsheim - Strasbourg",,2,,,
OCESN-87214247-87212027,OCESN,"","Barr - Strasbourg",,2,,,
OCESN-87214577-87214056,OCESN,"","Molsheim - Sélestat",,3,,,
OCE616990,OCESN,"","Strasbourg - Rothau - Saales",,3,,,
OCE616989,OCESN,"","Strasbourg - Barr - Sélestat",,3,,,
OCESN-87214726-87212027,OCESN,"","Rothau - Strasbourg",,2,,,
OCESN-87214783-87212027,OCESN,"","Saales - Strasbourg",,2,,,
OCESN-87182238-87182063,OCESN,"","Altkirch - Mulhouse",,3,,,
OCESN-87184002-87182063,OCESN,"","Belfort-Ville - Mulhouse",,2,,,
OCESN-87184002-87184275,OCESN,"","Belfort-Ville - Montreux-Vieux",,3,,,
OCE528888,OCESN,"","Sélestat - Ribeauvillé",,3,,,
OCE616986,OCESN,"","Mulhouse - St Louis - Bâle",,3,,,
OCESN-87702076-87214056,OCESN,"","Riquewihr-Poste - Sélestat",,3,,,
OCESN-87640938-87214056,OCESN,"","Ste-Marie-/-Mines-Maire - Sélestat",,3,,,
OCESN-87144014-87214056,OCESN,"","St-Dié-des-Vosges - Sélestat",,3,,,
OCESN-87640953-87214056,OCESN,"","Ste-Marie/-Ms-(-Théâtre - Sélestat",,3,,,
OCESN-87640870-87640391,OCESN,"","Ste-Croix/Mines-Sq-de-G - Sèlestat-(Schwilgué)",,3,,,
OCESN-87640946-87214056,OCESN,"","Ste-Marie-/-Ms-Pl-.CdG - Sélestat",,3,,,
OCESN-87640938-87640391,OCESN,"","Ste-Marie-/-Mines-Maire - Sèlestat-(Schwilgué)",,3,,,
OCESN-87640839-87640391,OCESN,"","Liepvre-(-R.-GUTH-) - Sèlestat-(Schwilgué)",,3,,,
OCESN-87640946-87640375,OCESN,"","Ste-Marie-/-Ms-Pl-.CdG - Sélestat-(Schweisguth)",,3,,,
OCE468859,OCESN,"","St-Dié-Ste Marie aux Mines-Sélestat",,3,,,
OCESN-87640482-87214056,OCESN,"","Lièpvre-(Rte-Vancelle) - Sélestat",,3,,,
OCE16626,OCESN,"","Commentry / Montluçon / Vierzon / Bourges (ligne 11)",,3,,,
OCE416859,OCESN,"","Clermont Fd / Le Mont Dore",,3,,,
OCESN-87734004-87732404,OCESN,"","Clermont-Ferrand - Gannat",,2,,,
OCESN-87732404-87734053,OCESN,"","Gannat - Riom-Châtel-Guyon",,3,,,
OCESN-87645002-87594572,OCESN,"","Aurillac - St-Denis-près-Martel",,3,,,
OCE384863,OCESN,"","Neussargues / Aurillac / Brive (ligne 10)",,2,,,
OCE384864,OCESN,"","Aurillac / Figeac / Capdenac",,2,,,
OCESN-87641001-87732008,OCESN,"","Montluçon-Ville - Vichy",,3,,,
OCE396880,OCESN,"","Montluçon / Vichy",,3,,,
OCE572935,OCESN,"","Clermont Fd / St Etienne",,3,,,
OCESN-87734004-87734699,OCESN,"","Clermont-Ferrand - Le Puy-en-Velay",,2,,,
OCE384852,OCESN,"","Clermont Fd / Le Puy (ligne 3)",,2,,,
OCE384854,OCESN,"","Clermont Fd / Gannat / Commentry / Montluçon (ligne 8)",,2,,,
OCE384853,OCESN,"","Clermont Fd / Aurillac (ligne 2)",,2,,,
OCE532907,OCESN,"","Arlanc / Clermont Fd",,3,,,
OCESN-87696328-87732008,OCESN,"","Moulins-sur-Allier - Vichy",,3,,,
OCE384857,OCESN,"","Clermont Fd / Riom / St Germain / Moulins / Nevers (ligne 9)",,2,,,
OCE428859,OCESN,"","Clermont Fd / Montluçon",,3,,,
OCE540929,OCESN,"","Montluçon / St Amand",,3,,,
OCESN-87641001-87409490,OCESN,"","Montluçon-Ville - Urcay-Hotel-du-Lyon-d'O",,3,,,
OCESN-87641001-87576322,OCESN,"","Montluçon-Ville - St-Amand-Montrond-Orval",,2,,,
OCE540927,OCESN,"","Montluçon / St Germain",,3,,,
OCESN-87641001-87732206,OCESN,"","Montluçon-Ville - St-Germain-des-Fossés",,3,,,
OCE424860,OCESN,"","St Eloy / Montluçon",,3,,,
OCESN-87589606-87641423,OCESN,"","Ancizes-St-Georges-Bour - Volvic",,3,,,
OCESN-87641043-87420976,OCESN,"","Lapeyrouse(Puy-de-Dôme) - St-Eloy-les-Mines-Lycée",,3,,,
OCESN-87734004-87693291,OCESN,"","Clermont-Ferrand - Le-Mont-Dore-Ski",,3,,,
OCESN-87734004-87698662,OCESN,"","Clermont-Ferrand - Saint-Etienne-Chtx-G.Ro",,3,,,
OCE464860,OCESN,"","Arvant / Millau",,3,,,
OCESN-87734871-87395822,OCESN,"","Massiac-Blesle - St-Flour-les-Allées",,3,,,
OCESN-87734004-87395947,OCESN,"","Clermont-Ferrand - Mauriac-Lycée-Cortat",,3,,,
OCE460859,OCESN,"","Clermont Fd / Mauriac",,3,,,
OCESN-87641043-87641134,OCESN,"","Lapeyrouse(Puy-de-Dôme) - St-Gervais-Mairie",,3,,,
OCE432860,OCESN,"","Riom / St Gervais",,3,,,
OCE456859,OCESN,"","Neussargues / Bort Les Orgues",,3,,,
OCESN-87645507-87680553,OCESN,"","Neussargues - Riom_Es_M_la_Poste.",,3,,,
OCE480859,OCESN,"","Neussargues / St Chély d'Apcher",,3,,,
OCESN-87645507-87783175,OCESN,"","Neussargues - St-Flour-Chaudes-Aigues",,3,,,
OCE480864,OCESN,"","Vic Le Comte / Brioude",,3,,,
OCE484866,OCESN,"","St Georges / Langeac",,3,,,
OCESN-87734319-87734301,OCESN,"","Langeac - St-Georges-d'Aurac",,3,,,
OCESN-87734004-87645267,OCESN,"","Clermont-Ferrand - Mauriac",,3,,,
OCE484868,OCESN,"","Arvant / Le Puy",,3,,,
OCESN-87734269-87734699,OCESN,"","Brioude - Le Puy-en-Velay",,3,,,
OCESN-87734319-87734699,OCESN,"","Langeac - Le Puy-en-Velay",,3,,,
OCESN-87734699-87734301,OCESN,"","Le Puy-en-Velay - St-Georges-d'Aurac",,3,,,
OCESN-87734251-87734319,OCESN,"","Arvant - Langeac",,3,,,
OCESN-87734251-87734699,OCESN,"","Arvant - Le Puy-en-Velay",,3,,,
OCE484887,OCESN,"","Le Puy / Firminy",,3,,,
OCESN-87726729-87734699,OCESN,"","Firminy - Le Puy-en-Velay",,3,,,
OCE532896,OCESN,"","Ambert / Le Puy",,3,,,
OCE484888,OCESN,"","Firminy / Dunières",,3,,,
OCE556927,OCESN,"","Vichy / Arlanc",,3,,,
OCESN-87734475-87732008,OCESN,"","Thiers - Vichy",,3,,,
OCESN-87734525-87732008,OCESN,"","Courpière - Vichy",,3,,,
OCE452859,OCESN,"","Laqueuille / Ussel",,3,,,
OCESN-87734590-87732008,OCESN,"","Arlanc-Place-Eglise - Vichy",,3,,,
OCESN-87734574-87732008,OCESN,"","Ambert - Vichy",,3,,,
OCESN-87734459-87732008,OCESN,"","Pont-de-Dore - Vichy",,3,,,
OCESN-87641472-87641423,OCESN,"","Le-Mont-Dore-Gare - Volvic",,3,,,
OCE452861,OCESN,"","Laqueuille / Le Mont Dore",,3,,,
OCESN-87641274-87641472,OCESN,"","Laqueuille - Le-Mont-Dore-Gare",,3,,,
OCESN-87734269-87734202,OCESN,"","Brioude - Issoire",,3,,,
OCE420859,OCESN,"","Clermont Fd / Ussel",,3,,,
OCESN-87734004-87594093,OCESN,"","Clermont-Ferrand - Ussel",,3,,,
OCE725920,OCESN,"","Autun - Chagny - Chalon",,3,,,
OCESN-87694570-87713578,OCESN,"","Autun - Chagny",,3,,,
OCE725923,OCESN,"","Nevers - Luzy",,3,,,
OCESN-87499905-87696534,OCESN,"","Decize-Lycée - Luzy(Nièvre)",,3,,,
OCESN-87696492-87696005,OCESN,"","Cercy-la-Tour - Nevers",,3,,,
OCESN-87696534-87696005,OCESN,"","Luzy(Nièvre) - Nevers",,3,,,
OCE725924,OCESN,"","Le Creusot - Etang - Autun",,3,,,
OCESN-87696807-87713131,OCESN,"","Clamecy - Montbard",,3,,,
OCE925896,OCESN,"","Montbard - Avallon - Clamecy",,3,,,
OCE725914,OCESN,"","Sermizelles - Vezelay - Corbigny",,3,,,
OCESN-87696617-87683722,OCESN,"","Corbigny - Sermizelles-Vézelay",,3,,,
OCESN-87694570-87694141,OCESN,"","Autun - Etang",,3,,,
OCESN-87694141-87694000,OCESN,"","Etang - Le Creusot",,3,,,
OCESN-87696328-87696005,OCESN,"","Moulins-sur-Allier - Nevers",,3,,,
OCE725930,OCESN,"","Nevers - Moulins",,3,,,
OCESN-87696005-87696294,OCESN,"","Nevers - St-Pierre-le-Moûtier",,3,,,
OCE725907,OCESN,"","Paray-le-Monial - Moulins-sur-Allier",,3,,,
OCESN-87696328-87694687,OCESN,"","Moulins-sur-Allier - Paray-le-Monial",,3,,,
OCE725908,OCESN,"","Digoin - Paray-le-Monial - Lozanne",,3,,,
OCESN-87142554-87713131,OCESN,"","Châtillon-sur-Seine - Montbard",,3,,,
OCE726010,OCESN,"","Avallon - Saulieu - Autun",,3,,,
OCESN-87694570-87683789,OCESN,"","Autun - Avallon",,3,,,
OCESN-87694570-87694471,OCESN,"","Autun - Saulieu",,3,,,
OCE725918,OCESN,"","Seurre - Bourg-en-Bresse",,3,,,
OCESN-87713735-87713677,OCESN,"","Louhans - Seurre",,3,,,
OCESN-87142125-87713859,OCESN,"","Culmont-Chalindrey - Is-sur-Tille",,3,,,
OCE726013,OCESN,"","Is-sur-Tille - Culmont Chalindrey",,3,,,
OCESN-87713859-87478818,OCESN,"","Is-sur-Tille - Selongey-Ecole-Ménagère",,3,,,
OCESN-87683573-87683789,OCESN,"","Auxerre-St-Gervais - Avallon",,3,,,
OCE925891,OCESN,"","AUXERRE - AVALLON",,3,,,
OCESN-87683573-87696807,OCESN,"","Auxerre-St-Gervais - Clamecy",,3,,,
OCE925892,OCESN,"","AUXERRE-CLAMECY-CORBIGNY",,3,,,
OCESN-87683573-87696617,OCESN,"","Auxerre-St-Gervais - Corbigny",,3,,,
OCESN-87696807-87696617,OCESN,"","Clamecy - Corbigny",,3,,,
OCE869851,OCESN,"","Clamecy - Corbigny",,3,,,
OCESN-87476002-87476317,OCESN,"","Lorient - Quimperlé",,3,,,
OCESN-87474338-87473009,OCESN,"","Morlaix - St-Brieuc",,3,,,
OCESN-87414318-87397950,OCESN,"","Morlaix-Lycée-Corbière - Santec",,3,,,
OCESN-87474338-87474635,OCESN,"","Morlaix - Roscoff",,3,,,
OCESN-87474338-87397950,OCESN,"","Morlaix - Santec",,3,,,
OCESN-87473504-87414276,OCESN,"","Carhaix - Guiscriff-5-Chemins",,3,,,
OCESN-87473504-87474155,OCESN,"","Carhaix - Rosporden",,3,,,
OCESN-87473504-87473496,OCESN,"","Carhaix - Gourin",,3,,,
OCESN-87473504-87474676,OCESN,"","Carhaix - Scaer",,3,,,
OCESN-87481648-87471334,OCESN,"","Châteaubriant - Janzé",,3,,,
